,Skrot,Nazwa,Druga,Sektor
146,FASING,FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING SPÓŁKA AKCYJNA,FSG (FASING),GPW: Przemysł metalowy
147,FORTE,FABRYKI MEBLI FORTE SPÓŁKA AKCYJNA,FTE (FORTE),GPW: Przemysł drzewny
148,GBK,GETBACK SPÓŁKA AKCYJNA,GBK (GETBACK),GPW: Finanse inne
149,GROCLIN,GROCLIN SPÓŁKA AKCYJNA,GCN (GROCLIN),GPW: Przemysł motoryzacyjny
150,IMMOBILE,GRUPA KAPITAŁOWA IMMOBILE SPÓŁKA AKCYJNA,GKI (IMMOBILE),GPW: Konglomeraty
151,GLOBAL-COSMED,GLOBAL COSMED SPÓŁKA AKCYJNA,GLC (GLCOSMED),GPW: Przemysł farmaceutyczny
152,GETIN-NOBLE-BANK,GETIN NOBLE BANK SPÓŁKA AKCYJNA,GNB (GETINOBLE),GPW: Banki
153,GOBARTO,GOBARTO SPÓŁKA AKCYJNA,GOB (GOBARTO),GPW: Przemysł spożywczy
154,GPR,GLOBALWORTH POLAND REAL ESTATE N.V.,GPR (GPRE),GPW: Deweloperzy
155,GPW,GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE SPÓŁKA AKCYJNA,GPW,GPW: Rynek kapitałowy
156,GINO-ROSSI,GINO ROSSI SPÓŁKA AKCYJNA,GRI (GINOROSSI),GPW: Handel detaliczny
157,GRODNO,GRODNO SPÓŁKA AKCYJNA,GRN (GRODNO),GPW: Handel hurtowy
158,GTC,GLOBE TRADE CENTRE SPÓŁKA AKCYJNA,GTC,GPW: Deweloperzy
159,GETIN-HOLDING,GETIN HOLDING SPÓŁKA AKCYJNA,GTN (GETIN),GPW: Banki
160,HYDROTOR,PRZEDSIĘBIORSTWO HYDRAULIKI SIŁOWEJ HYDROTOR S.A.,HDR (HYDROTOR),GPW: Przemysł elektromaszynowy
161,HELIO,HELIO SPÓŁKA AKCYJNA,HEL (HELIO),GPW: Przemysł spożywczy
162,HOLLYWOOD,HOLLYWOOD SPÓŁKA AKCYJNA,HLD (HOLLYWOOD),GPW: Usługi inne
163,HARPER-HYGIENICS,HARPER HYGIENICS SPÓŁKA AKCYJNA,HRP (HARPER),GPW: Przemysł farmaceutyczny
164,HERKULES,HERKULES SPÓŁKA AKCYJNA,HRS (HERKULES),GPW: Budownictwo
165,HUBSTYLE,HUBSTYLE SPÓŁKA AKCYJNA,HUB (HUBSTYLE),GPW: Media
166,I2D,I2 DEVELOPMENT SPÓŁKA AKCYJNA,I2D (I2DEV),GPW: Deweloperzy
167,IALBGR,IALBATROS GROUP SPÓŁKA AKCYJNA,IAG (IALBGR),GPW: Usługi inne
168,IBSM,IBSM SPÓŁKA AKCYJNA,IBS (IBSM),GPW: Deweloperzy
169,IDEA-BANK,IDEA BANK SPÓŁKA AKCYJNA,IDA (IDEABANK),GPW: Banki
170,IDEON,IDEON SPÓŁKA AKCYJNA,IDE (IDEON),GPW: Energetyka
171,INDYGOTECH-MINERALS,INDYGOTECH MINERALS SPÓŁKA AKCYJNA,IDG (INDYGO),GPW: Finanse inne
172,IDM,IDM SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,IDM (IDMSA),GPW: Rynek kapitałowy
173,INDATA-SOFTWARE,INDATA SOFTWARE SPÓŁKA AKCYJNA,IDT (INDATA),GPW: Informatyka
174,IFC,INVESTMENT FRIENDS CAPITAL SE,IFC (IFCAPITAL),GPW: Finanse inne
175,IFI,IFIRMA SPÓŁKA AKCYJNA,IFI (IFIRMA),GPW: Informatyka
176,IFR,INVESTMENT FRIENDS SE,IFR (IFSA),GPW: Finanse inne
177,IIA,IMMOFINANZ AG,IIA (IIAAV),GPW: Deweloperzy
178,INDUSTRIAL-MILK-COMPANY,INDUSTRIAL MILK COMPANY S.A.,IMC (IMCOMPANY),GPW: Przemysł spożywczy
179,IMPERA,IMPERA CAPITAL SPÓŁKA AKCYJNA,IMP (IMPERA),GPW: Finanse inne
180,IMS,IMS SPÓŁKA AKCYJNA,IMS,GPW: Usługi inne
181,INC,INC SPÓŁKA AKCYJNA,INC,GPW: Finanse inne
182,INDYKPOL,INDYKPOL SPÓŁKA AKCYJNA,IND (INDYKPOL),GPW: Przemysł spożywczy
183,INTERFERIE,INTERFERIE SPÓŁKA AKCYJNA,INF (INTERFERI),GPW: Hotele i restauracje
184,ING-BANK-SLASKI,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,ING (INGBSK),GPW: Banki
185,INSTAL-KRAKOW,INSTAL KRAKÓW SPÓŁKA AKCYJNA,INK (INSTALKRK),GPW: Budownictwo
186,INTROL,INTROL SPÓŁKA AKCYJNA,INL (INTROL),GPW: Przemysł elektromaszynowy
187,INPRO,INPRO SPÓŁKA AKCYJNA,INP (INPRO),GPW: Deweloperzy
188,INVISTA,INVISTA SPÓŁKA AKCYJNA,INV (INVISTA),GPW: Finanse inne
189,IPOPEMA,IPOPEMA SECURITIES SPÓŁKA AKCYJNA,IPE (IPOPEMA),GPW: Rynek kapitałowy
190,INTERNATIONAL-PERSONAL-FINANCE-PLC,INTERNATIONAL PERSONAL FINANCE PUBLIC LIMITED COMPANY,IPF (PROVIDENT),GPW: Finanse inne
191,IMPEL,IMPEL SPÓŁKA AKCYJNA,IPL (IMPEL),GPW: Usługi inne
192,INTERSPPL,INTERSPORT POLSKA SPÓŁKA AKCYJNA,IPO (INTERSPPL),GPW: Handel detaliczny
193,IPX,IMPEXMETAL SPÓŁKA AKCYJNA,IPX (IMPEXMET),GPW: Przemysł metalowy
194,IQ-PARTNERS,IQ PARTNERS SPÓŁKA AKCYJNA,IQP,GPW: Finanse inne
195,INTER-RAO-LIETUVA,AB INTER RAO LIETUVA,IRL (INTERAOLT),GPW: Energetyka
196,INTERBUD-LUBLIN,INTERBUD-LUBLIN SPÓŁKA AKCYJNA W RESTRUKTURYZACJI,ITB (INTERBUD),GPW: Budownictwo
197,ITM,INTERMA TRADE SPÓŁKA AKCYJNA,ITM (ITMTRADE),GPW: Handel detaliczny
198,IZOBLOK,IZOBLOK SPÓŁKA AKCYJNA,IZB (IZOBLOK),GPW: Przemysł tworzyw sztucznych
199,IZOLACJA-JAROCIN,IZOLACJA-JAROCIN SPÓŁKA AKCYJNA,IZO (IZOLACJA),GPW: Przemysł materiałów budowlanych
200,IZOSTAL,IZOSTAL SPÓŁKA AKCYJNA,IZS (IZOSTAL),GPW: Przemysł metalowy
201,JHM-DEVELOPMENT,JHM DEVELOPMENT SPÓŁKA AKCYJNA,JHM (JHMDEV),GPW: Deweloperzy
202,JJ-AUTO,JJ AUTO AG,JJO (JJAUTO),GPW: Przemysł motoryzacyjny
203,JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,JASTRZĘBSKA SPÓŁKA WĘGLOWA SPÓŁKA AKCYJNA,JSW,GPW: Przemysł surowcowy
204,JW-CONSTRUCTION,J. W. CONSTRUCTION HOLDING SPÓŁKA AKCYJNA,JWC (JWCONSTR),GPW: Deweloperzy
205,JWW-INVEST,JWW INVEST SPÓŁKA AKCYJNA,JWW (JWWINVEST),GPW: Przemysł elektromaszynowy
206,K2-INTERNET,K2 INTERNET SPÓŁKA AKCYJNA,K2I (K2INTERNT),GPW: Media
207,HENRYK-KANIA,ZAKŁADY MIĘSNE HENRYK KANIA SPÓŁKA AKCYJNA,KAN (KANIA),GPW: Przemysł spożywczy
208,KBD,KORPORACJA BUDOWLANA DOM SPÓŁKA AKCYJNA,KBD (KBDOM),GPW: Przemysł materiałów budowlanych
209,KRAKCHEMIA,KRAKCHEMIA SPÓŁKA AKCYJNA,KCH (KRAKCHEM),GPW: Przemysł tworzyw sztucznych
210,KCI,KCI SPÓŁKA AKCYJNA,KCI,GPW: Media
211,KDM-SHIPPING-PUBLIC-LIMITED,KDM SHIPPING PUBLIC LIMITED,KDM (KDMSHIPNG),GPW: Usługi inne
212,KERNEL,KERNEL HOLDING S.A.,KER (KERNEL),GPW: Przemysł spożywczy
213,KGHM,KGHM POLSKA MIEDŹ SPÓŁKA AKCYJNA,KGH (KGHM),GPW: Przemysł surowcowy
214,KGL,KORPORACJA KGL SPÓŁKA AKCYJNA,KGL,GPW: Przemysł tworzyw sztucznych
215,KOGENERACJA,ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA SPÓŁKA AKCYJNA,KGN (KOGENERA),GPW: Energetyka
216,KOMPAP,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE KOMPAP SPÓŁKA AKCYJNA,KMP (KOMPAP),GPW: Usługi inne
217,KOMPUTRONIK,KOMPUTRONIK SPÓŁKA AKCYJNA,KOM (KOMPUTRON),GPW: Handel detaliczny
218,KPD,KOSZALIŃSKIE PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SPÓŁKA AKCYJNA,KPD (KPPD),GPW: Przemysł drzewny
219,KINO-POLSKA-TV,KINO POLSKA TV SPÓŁKA AKCYJNA,KPL (KINOPOL),GPW: Media
220,KRYNICKI-RECYKLING,KRYNICKI RECYKLING SPÓŁKA AKCYJNA,KRC (KREC),GPW: Przemysł inne
221,KREDYT-INKASO,KREDYT INKASO SPÓŁKA AKCYJNA,KRI (KREDYTIN),GPW: Finanse inne
